#MURAM HIGH RES FROM SOWMYA
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.08549 8.667065110776476e-06 8.295342162465264e-06 7.865197207632552e-06 7.400064444208497e-06 6.915066188768008e-06 6.411824544526726e-06 5.882962720392088e-06 5.315257182593697e-06 4.6776907842607995e-06
430.08635 1.0071988045796336e-05 9.433911394165067e-06 8.826945847196142e-06 8.230318210621663e-06 7.635199143319132e-06 7.030153535379769e-06 6.401704695991937e-06 5.7338069639337225e-06 4.994277747289933e-06
430.08721 1.1375221161250523e-05 1.056827584927026e-05 9.834463750994774e-06 9.132035227835153e-06 8.438613704098614e-06 7.73540942775067e-06 7.00681193440477e-06 6.2358268251263645e-06 5.387325823274637e-06
430.08807 1.2398034511928792e-05 1.1557750815217673e-05 1.0771383971811697e-05 1.0001228337746109e-05 9.227452297528068e-06 8.433545556617614e-06 7.608135545353477e-06 6.7378167748527896e-06 5.787029836579915e-06
430.08893 1.3288147199967705e-05 1.2475189216593308e-05 1.1664882879656279e-05 1.0837594730812517e-05 9.984413511693794e-06 9.096810107908824e-06 8.17143331300489e-06 7.2001859981618565e-06 6.150041287796901e-06
430.08979 1.431278302423015e-05 1.3494391688776782e-05 1.2627610373656582e-05 1.171554987064823e-05 1.0761293884833921e-05 9.76354229805291e-06 8.72542763477324e-06 7.641778124320857e-06 6.481346413514092e-06
430.09065 1.5662137485315115e-05 1.4737252251056141e-05 1.3745226316348137e-05 1.2700725118679347e-05 1.1612935203804768e-05 1.0482783670945285e-05 9.314889592744167e-06 8.102987502039687e-06 6.814768554874789e-06
430.09151 1.729808625787792e-05 1.6166619577160285e-05 1.4990315680496477e-05 1.377665711115801e-05 1.2532907803697211e-05 1.1257024483921825e-05 9.950676234281348e-06 8.60323585773622e-06 7.17746335722342e-06
430.09237 1.8948336304631935e-05 1.7582486571755037e-05 1.621103061850241e-05 1.4826667102844734e-05 1.343147867513957e-05 1.2018403739900711e-05 1.0584809107210599e-05 9.114489593728834e-06 7.56145562124179e-06
430.09323 2.0278605212514898e-05 1.8725510822413423e-05 1.7197911197884488e-05 1.5678227047386356e-05 1.4164843229186073e-05 1.2646975483250478e-05 1.1119055965379891e-05 9.560244370283945e-06 7.914853122320952e-06
