K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
2.4950e+02 1.2072e-08 1.1048e-08 1.0178e-08 9.3773e-09 8.6190e-09 7.8681e-09 7.0494e-09 6.1475e-09 5.1228e-09
2.5050e+02 1.6045e-08 1.4533e-08 1.3279e-08 1.2157e-08 1.1112e-08 1.0103e-08 9.0345e-09 7.8532e-09 6.4961e-09
2.5130e+02 1.2318e-08 1.1597e-08 1.0926e-08 1.0255e-08 9.5641e-09 8.8252e-09 7.9782e-09 7.0039e-09 5.8656e-09
2.5180e+02 1.0799e-08 1.0242e-08 9.7051e-09 9.1498e-09 8.5761e-09 7.9539e-09 7.2748e-09 6.5384e-09 5.7570e-09
2.5250e+02 1.1119e-08 1.0525e-08 9.9672e-09 9.4028e-09 8.8244e-09 8.2049e-09 7.5320e-09 6.8091e-09 6.0477e-09
2.5350e+02 1.5502e-08 1.4609e-08 1.3794e-08 1.2988e-08 1.2182e-08 1.1344e-08 1.0450e-08 9.4809e-09 8.4138e-09
2.5450e+02 1.8165e-08 1.6976e-08 1.5903e-08 1.4861e-08 1.3840e-08 1.2805e-08 1.1726e-08 1.0581e-08 9.3263e-09
2.5550e+02 3.5121e-08 3.0620e-08 2.6740e-08 2.3313e-08 2.0296e-08 1.7611e-08 1.5187e-08 1.2947e-08 1.0791e-08
2.5650e+02 2.9860e-08 2.6285e-08 2.3170e-08 2.0387e-08 1.7897e-08 1.5628e-08 1.3517e-08 1.1480e-08 9.4486e-09
2.5750e+02 5.2387e-08 4.3963e-08 3.6693e-08 3.0449e-08 2.5152e-08 2.0715e-08 1.7004e-08 1.3855e-08 1.1083e-08
2.5850e+02 4.9075e-08 4.1516e-08 3.4912e-08 2.9193e-08 2.4287e-08 2.0120e-08 1.6571e-08 1.3496e-08 1.0737e-08
2.5950e+02 4.7947e-08 4.1092e-08 3.5079e-08 2.9814e-08 2.5232e-08 2.1253e-08 1.7777e-08 1.4678e-08 1.1830e-08
2.6050e+02 4.5889e-08 4.0354e-08 3.5403e-08 3.0917e-08 2.6861e-08 2.3186e-08 1.9830e-08 1.6717e-08 1.3767e-08
