wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.03044 8.048659142439103e-06 7.63790886303997e-06 7.2479931385463864e-06 6.858903680815967e-06 6.4727419182836354e-06 6.091079848139132e-06 5.710141371098444e-06 5.313877567834309e-06 4.863146783120531e-06
430.0313 7.290367518349104e-06 7.002865225870762e-06 6.716236409122669e-06 6.415889581305247e-06 6.1051602940082405e-06 5.785914004598206e-06 5.454334594459932e-06 5.094972488164206e-06 4.668967228736687e-06
430.03216 6.711180207630428e-06 6.503297836357923e-06 6.283876990648401e-06 6.044378637961676e-06 5.787881312660062e-06 5.515334138204706e-06 5.222152026934283e-06 4.893126020722805e-06 4.49061140663394e-06
430.03302 6.314536288360819e-06 6.145557002866047e-06 5.961873444449309e-06 5.758378379383041e-06 5.5366190597852125e-06 5.296042075739551e-06 5.0308153979238224e-06 4.725767029507418e-06 4.3444528740189486e-06
430.03388 6.069747665412634e-06 5.910576057587039e-06 5.739663159628698e-06 5.553195989732066e-06 5.350840742985884e-06 5.130321105100227e-06 4.884434413697235e-06 4.5975258806787354e-06 4.2334767846434976e-06
430.03474 5.930721937753011e-06 5.76416583389539e-06 5.591315333774859e-06 5.4093322788674714e-06 5.2161123083589566e-06 5.007472320798267e-06 4.7746311115406915e-06 4.500897860070797e-06 4.149202589575688e-06
430.0356 5.847168034813995e-06 5.663100438762452e-06 5.48026267205754e-06 5.29619728068567e-06 5.1066310792793135e-06 4.905075474252142e-06 4.68068977962262e-06 4.415517389408639e-06 4.070038211960449e-06
430.03646 5.76170224316175e-06 5.55509402842641e-06 5.360887173708802e-06 5.173634554298431e-06 4.986121702546958e-06 4.789002466769601e-06 4.56944674148178e-06 4.307655383704814e-06 3.959295278523968e-06
430.03732 5.604874318427516e-06 5.379369057727365e-06 5.180045283240509e-06 4.993890497942752e-06 4.8096265586807465e-06 4.615361779230709e-06 4.396655749325697e-06 4.131128251527813e-06 3.766122560342404e-06
430.03818 5.302869760832353e-06 5.077086257035715e-06 4.888222871164628e-06 4.711803078797594e-06 4.533272053234199e-06 4.340079409574793e-06 4.118050423394193e-06 3.840712150011964e-06 3.444696196294956e-06
430.03904 4.814987974665887e-06 4.620516861994594e-06 4.458877832304302e-06 4.299193247584676e-06 4.129526491319947e-06 3.938283821062365e-06 3.711851186772404e-06 3.4199344280749595e-06 2.9939938139850777e-06
430.0399 4.182901698495247e-06 4.038056975304155e-06 3.9078575046583635e-06 3.768412643620189e-06 3.6118826883563916e-06 3.428233982018466e-06 3.2042379780091226e-06 2.9088446677017117e-06 2.4826863187806176e-06
430.04076 3.5262806435304406e-06 3.4130266678935317e-06 3.3074904824822625e-06 3.1886401456883452e-06 3.0501770878656486e-06 2.8826980212998703e-06 2.673515237911235e-06 2.398119487964208e-06 2.014398766641177e-06
430.04163 2.9543773242432737e-06 2.845245589100975e-06 2.756773822873121e-06 2.657588567830132e-06 2.539467904998362e-06 2.394432958252455e-06 2.211747470119072e-06 1.9738245020934284e-06 1.6512526594864484e-06
430.04249 2.494305546032147e-06 2.3942948426297332e-06 2.3224700032522785e-06 2.241742381149178e-06 2.1437251213370512e-06 2.021952208450992e-06 1.8676684073427989e-06 1.6668769743603359e-06 1.3995033765632268e-06
