# M0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04  i03    
2.6050e+02 7.9726e-10 7.5940e-10 7.3972e-10 7.2700e-10 7.2482e-10 7.3537e-10 7.5838e-10 8.1949e-10 9.8259e-10
2.6150e+02 8.0941e-10 7.7408e-10 7.5740e-10 7.4747e-10 7.4848e-10 7.6216e-10 7.9026e-10 8.5771e-10 1.0328e-09
2.6250e+02 9.2767e-10 8.7983e-10 8.4920e-10 8.2865e-10 8.1866e-10 8.2124e-10 8.3667e-10 8.9252e-10 1.0568e-09
2.6350e+02 1.1458e-09 1.0765e-09 1.0264e-09 9.8615e-10 9.5803e-10 9.4304e-10 9.4197e-10 9.8351e-10 1.1362e-09
2.6450e+02 1.0098e-09 9.5003e-10 9.0980e-10 8.7543e-10 8.5065e-10 8.3811e-10 8.4061e-10 8.9369e-10 1.0546e-09
2.6550e+02 1.2088e-09 1.1236e-09 1.0633e-09 1.0061e-09 9.5899e-10 9.2011e-10 8.9169e-10 9.0812e-10 1.0340e-09
2.6650e+02 1.1789e-09 1.1120e-09 1.0670e-09 1.0279e-09 1.0045e-09 9.9741e-10 1.0004e-09 1.0529e-09 1.2280e-09
2.6750e+02 1.1964e-09 1.1272e-09 1.0813e-09 1.0421e-09 1.0162e-09 1.0060e-09 1.0078e-09 1.0565e-09 1.2312e-09
2.6850e+02 1.3037e-09 1.2209e-09 1.1633e-09 1.1088e-09 1.0635e-09 1.0252e-09 9.9140e-10 9.9729e-10 1.0974e-09
2.6950e+02 1.2193e-09 1.1618e-09 1.1269e-09 1.0972e-09 1.0827e-09 1.0869e-09 1.1045e-09 1.1755e-09 1.3871e-09
2.7050e+02 1.5538e-09 1.4571e-09 1.3863e-09 1.3236e-09 1.2701e-09 1.2263e-09 1.1978e-09 1.2285e-09 1.3957e-09
2.7150e+02 1.5823e-09 1.5005e-09 1.4484e-09 1.4059e-09 1.3769e-09 1.3713e-09 1.3831e-09 1.4557e-09 1.6853e-09
2.7250e+02 1.5299e-09 1.4611e-09 1.4188e-09 1.3870e-09 1.3718e-09 1.3764e-09 1.4015e-09 1.4885e-09 1.7388e-09
2.7350e+02 1.5965e-09 1.5204e-09 1.4728e-09 1.4361e-09 1.4136e-09 1.4140e-09 1.4322e-09 1.5125e-09 1.7601e-09
2.7450e+02 1.9369e-09 1.8429e-09 1.7807e-09 1.7267e-09 1.6947e-09 1.6867e-09 1.6988e-09 1.7880e-09 2.0559e-09
2.7550e+02 1.9523e-09 1.8575e-09 1.7936e-09 1.7361e-09 1.7018e-09 1.6913e-09 1.7015e-09 1.7843e-09 2.0474e-09
2.7650e+02 2.3415e-09 2.2015e-09 2.0946e-09 1.9978e-09 1.9230e-09 1.8705e-09 1.8353e-09 1.8740e-09 2.0992e-09
2.7750e+02 2.6653e-09 2.4975e-09 2.3616e-09 2.2316e-09 2.1279e-09 2.0468e-09 1.9830e-09 1.9943e-09 2.1938e-09
2.7850e+02 2.2005e-09 2.0905e-09 2.0108e-09 1.9401e-09 1.8901e-09 1.8646e-09 1.8561e-09 1.9272e-09 2.2024e-09
2.7950e+02 2.8704e-09 2.7478e-09 2.6698e-09 2.6090e-09 2.5761e-09 2.5733e-09 2.6156e-09 2.7665e-09 3.1798e-09
2.8050e+02 2.7944e-09 2.6739e-09 2.5916e-09 2.5251e-09 2.4840e-09 2.4755e-09 2.5031e-09 2.6361e-09 3.0245e-09
2.8150e+02 2.5649e-09 2.4238e-09 2.3078e-09 2.1998e-09 2.0998e-09 2.0076e-09 1.9264e-09 1.9260e-09 2.1474e-09
2.8250e+02 2.6588e-09 2.5216e-09 2.4184e-09 2.3212e-09 2.2436e-09 2.1942e-09 2.1677e-09 2.2171e-09 2.4847e-09
